2024-04-16T17:44:37
Configurations(Methods):
Name,Touch Interfaces
config01,"Button00, TS05"
config02,"Slider00, TS15, TS14, TS13, TS12, TS01"
Logs:
"config01:Button00:Measurement Value",Baseline,Threshold,Touch ON/OFF Difference,Hysteresis,Status,"config02:Slider00:Status",Threshold,Resolution,TS15:Measurement Value,TS14:Measurement Value,TS13:Measurement Value,TS12:Measurement Value,TS01:Measurement Value
46161,46165,800,-4,10,0,-,-,-,-,-,-,-,-
46186,46165,800,21,10,0,-,-,-,-,-,-,-,-
46200,46165,800,35,10,0,-,-,-,-,-,-,-,-
46200,46165,800,35,10,0,-,-,-,-,-,-,-,-
46223,46165,800,58,10,0,-,-,-,-,-,-,-,-
46230,46165,800,65,10,0,-,-,-,-,-,-,-,-
46220,46165,800,55,10,0,-,-,-,-,-,-,-,-
46227,46165,800,62,10,0,-,-,-,-,-,-,-,-
46213,46165,800,48,10,0,-,-,-,-,-,-,-,-
46262,46165,800,97,10,0,-,-,-,-,-,-,-,-
46244,46165,800,79,10,0,-,-,-,-,-,-,-,-
46238,46165,800,73,10,0,-,-,-,-,-,-,-,-
46277,46165,800,112,10,0,-,-,-,-,-,-,-,-
46240,46165,800,75,10,0,-,-,-,-,-,-,-,-
46226,46165,800,61,10,0,-,-,-,-,-,-,-,-
46222,46165,800,57,10,0,-,-,-,-,-,-,-,-
46203,46165,800,38,10,0,-,-,-,-,-,-,-,-
46243,46165,800,78,10,0,-,-,-,-,-,-,-,-
46266,46165,800,101,10,0,-,-,-,-,-,-,-,-
46259,46165,800,94,10,0,-,-,-,-,-,-,-,-
46235,46165,800,70,10,0,-,-,-,-,-,-,-,-
46277,46165,800,112,10,0,-,-,-,-,-,-,-,-
46271,46165,800,106,10,0,-,-,-,-,-,-,-,-
46292,46165,800,127,10,0,-,-,-,-,-,-,-,-
46300,46165,800,135,10,0,-,-,-,-,-,-,-,-
46310,46165,800,145,10,0,-,-,-,-,-,-,-,-
46286,46165,800,121,10,0,-,-,-,-,-,-,-,-
